date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:43:31	30977/30977	---MC-	200	added ('OK')	text/html	date:Mon,%2029%20Jul%202024%2013:43:31%20GMT	https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/ingresar5be1.html	(from )
09:43:32	223/223	---M--	200	added ('OK')	text/plain	etag:%221dad9427aabcf5f%22	https://www.boleteriavip.com.ar/robots.txt		(from )
09:43:32	37620/37620	---M--	200	added ('OK')	image/png	etag:%221da634fd81a93f4%22	https://www.boleteriavip.com.ar/images/shared/favicon.png	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/images/shared/favicon.png	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
09:43:33	14964/14964	---M--	200	added ('OK')	font/woff2	etag:%221d9effbf0cdcd74%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-300.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-300.woff2	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
09:43:34	14940/14940	---M--	200	added ('OK')	font/woff2	etag:%221d9effbf0cdcd5c%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-regular.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-regular.woff2	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
09:43:35	15100/15100	---M--	200	added ('OK')	font/woff2	etag:%221d9effbf0cdcdfc%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-500.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-500.woff2	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
09:43:36	15072/15072	---M--	200	added ('OK')	font/woff2	etag:%221d9effbf0cdcde0%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-600.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-600.woff2	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
09:43:37	15240/15240	---M--	200	added ('OK')	font/woff2	etag:%221d9effbf0cdcc88%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-700.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-700.woff2	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
09:43:38	15332/15332	---M--	200	added ('OK')	font/woff2	etag:%221d9effbf0cdcce4%22	https://www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-800.woff2	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/fonts/montserrat/montserrat-v26-latin-800.woff2	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
09:43:40	232855/232855	---MCZ	200	added ('OK')	text/css	etag:W/%22896192cc65e20f1fcc6d792b5b9a4626%22	https://www.boleteriavip.com.ar/assets/lib/bootstrap-5.3.1-dist/css/bootstrap.min.css	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/assets/lib/bootstrap-5.3.1-dist/css/bootstrap.min.css	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
09:43:41	29045/29045	---MCZ	200	added ('OK')	text/css	etag:W/%221dac65800941cf5%22	https://www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/css/bolvip-theme-x263.min.css	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
09:43:41	13292/13292	---M--	200	added ('OK')	image/png	etag:%22fb81fe068c8d7b9f5617a83cbfff008a%22	https://www.boleteriavip.com.ar/assets/images/shared/logo-boleteriavip-small2.png	/home/kali/Desktop/Correo/www.boleteriavip.com.ar/assets/images/shared/logo-boleteriavip-small2.png	(from https://www.boleteriavip.com.ar/ingresar?ReturnUrl=%2Faltasocio%2Fdatospersonales%2Fcolon)
